Feature,Importance
has_variations,0.31343794
brand_avg_loves,0.10226599
rating,0.07869421
online_only,0.064528026
new,0.06283964
has_highlights,0.04351029
child_count,0.04209139
limited_edition,0.030862847
is_exclusive,0.029271735
category_depth,0.027455552
sephora_exclusive,0.02541372
num_highlights,0.025406526
out_of_stock,0.020696046
exclusivity_score,0.019246612
has_value_price,0.016577445
variation_price_range,0.016360538
has_ingredients,0.014028516
is_top_brand,0.0139415935
price_usd,0.013047455
brand_product_count,0.012072986
brand_avg_rating,0.011078622
has_sale,0.008588932
discount_pct,0.0085832905
